sample	r1_raw	r2_raw	r1_trimmed_paired	r2_trimmed_paired
sample1965	2004	2004	2004	2004
sample2737	2004	2004	2003	2003
sample2226	2004	2004	2003	2003
sample2478	2004	2004	2004	2004
sample1966	2004	2004	2004	2004
sample2738	2004	2004	2003	2003
sample2227	2004	2004	1999	1999
sample2479	2004	2004	2003	2003
sample1967	2004	2004	2004	2004
sample2739	2004	2004	2003	2003
sample2228	2004	2004	2002	2002
sample2480	2004	2004	2004	2004
sample2740	2004	2004	2004	2004
sample1968	2004	2004	2004	2004
sample2229	2004	2004	2004	2004
sample2481	2004	2004	2004	2004
sample2741	2004	2004	2003	2003
sample2230	2004	2004	2002	2002
sample1969	2004	2004	2004	2004
sample2482	2004	2004	2004	2004
sample2742	2004	2004	2004	2004
sample2231	2004	2004	2004	2004
sample2743	2004	2004	2004	2004
sample2483	2004	2004	2003	2003
sample1970	2004	2004	2004	2004
sample2232	2004	2004	2004	2004
sample2744	2004	2004	2002	2002
sample2484	2004	2004	2003	2003
sample1971	2004	2004	2001	2001
sample2233	2004	2004	2003	2003
sample2745	2004	2004	2002	2002
sample2485	2004	2004	2003	2003
sample1972	2004	2004	2003	2003
sample2234	2004	2004	2002	2002
sample2746	2004	2004	2004	2004
sample2486	2004	2004	2004	2004
sample1973	2004	2004	2004	2004
sample2235	2004	2004	2004	2004
sample2747	2004	2004	2003	2003
sample2487	2004	2004	2004	2004
sample2236	2004	2004	2004	2004
sample1974	2004	2004	2002	2002
sample2748	2004	2004	2003	2003
sample2488	2004	2004	2003	2003
sample2237	2004	2004	2003	2003
sample1975	2004	2004	2004	2004
sample2749	2004	2004	2001	2001
sample2489	2004	2004	2002	2002
sample2238	2004	2004	2004	2004
sample2750	2004	2004	2003	2003
sample1976	2004	2004	1999	1999
sample2239	2004	2004	2002	2002
sample2490	2004	2004	2004	2004
sample2751	2004	2004	2002	2002
sample2240	2004	2004	2002	2002
sample1977	2004	2004	2002	2002
sample2491	2004	2004	2004	2004
sample2752	2004	2004	2003	2003
sample2241	2004	2004	2003	2003
sample1978	2004	2004	2004	2004
sample2492	2004	2004	2004	2004
sample2493	2004	2004	2004	2004
sample2753	2004	2004	2003	2003
sample2242	2004	2004	2004	2004
sample1979	2004	2004	2004	2004
sample2494	2004	2004	2004	2004
sample2754	2004	2004	2004	2004
sample2243	2004	2004	2003	2003
sample1980	2004	2004	2004	2004
sample2755	2004	2004	2002	2002
sample2495	2004	2004	2003	2003
sample2244	2004	2004	2003	2003
sample2756	2004	2004	2003	2003
sample1981	2004	2004	2003	2003
sample2496	2004	2004	2003	2003
sample2245	2004	2004	2004	2004
sample2757	2004	2004	2004	2004
sample2497	2004	2004	2003	2003
sample2246	2004	2004	2002	2002
sample1982	2004	2004	2003	2003
sample2758	2004	2004	2004	2004
sample2498	2004	2004	2003	2003
sample2247	2004	2004	2003	2003
sample1983	2004	2004	2001	2001
sample2759	2004	2004	2002	2002
sample2248	2004	2004	2003	2003
sample2499	2004	2004	2002	2002
sample1984	2004	2004	2002	2002
sample2760	2004	2004	2004	2004
sample2249	2004	2004	2004	2004
sample2500	2004	2004	2002	2002
sample2761	2004	2004	2004	2004
sample1985	2004	2004	2004	2004
sample2250	2004	2004	2003	2003
sample2501	2004	2004	2004	2004
sample2762	2004	2004	2002	2002
sample2251	2004	2004	2004	2004
sample1986	2004	2004	2004	2004
sample2502	2004	2004	2004	2004
sample2763	2004	2004	2003	2003
sample2252	2004	2004	2003	2003
sample1987	2004	2004	2003	2003
sample2503	2004	2004	2002	2002
sample2764	2004	2004	2004	2004
sample2253	2004	2004	2003	2003
sample1988	2004	2004	2003	2003
sample2765	2004	2004	2004	2004
sample2504	2004	2004	2002	2002
sample2254	2004	2004	2003	2003
sample1989	2004	2004	2002	2002
sample2766	2004	2004	2003	2003
sample2505	2004	2004	2002	2002
sample2255	2004	2004	2003	2003
sample1990	2004	2004	2004	2004
sample2767	2004	2004	2001	2001
sample2506	2004	2004	2004	2004
sample2256	2004	2004	2000	2000
sample2768	2004	2004	2004	2004
sample2507	2004	2004	2003	2003
sample2257	2004	2004	2003	2003
sample1991	2004	2004	2003	2003
sample2769	2004	2004	2002	2002
sample2258	2004	2004	2003	2003
sample2508	2004	2004	2003	2003
sample1992	2004	2004	2003	2003
sample2770	2004	2004	2004	2004
sample2259	2004	2004	2004	2004
sample2509	2004	2004	2004	2004
sample2771	2004	2004	2004	2004
sample2260	2004	2004	2003	2003
sample1993	2004	2004	2003	2003
sample2510	2004	2004	2002	2002
sample2772	2004	2004	2004	2004
sample2261	2004	2004	2004	2004
sample2511	2004	2004	2004	2004
sample1994	2004	2004	2004	2004
sample2773	2004	2004	2004	2004
sample2262	2004	2004	2003	2003
sample2512	2004	2004	2003	2003
sample2774	2004	2004	2004	2004
sample2263	2004	2004	2004	2004
sample1995	2004	2004	2004	2004
sample2513	2004	2004	2002	2002
sample2775	2004	2004	2002	2002
sample2264	2004	2004	2004	2004
sample2514	2004	2004	2003	2003
sample1996	2004	2004	2004	2004
sample2776	2004	2004	2004	2004
sample2265	2004	2004	2004	2004
sample2515	2004	2004	2002	2002
sample2777	2004	2004	2003	2003
sample1997	2004	2004	2002	2002
sample2266	2004	2004	2003	2003
sample2516	2004	2004	2004	2004
sample2778	2004	2004	2004	2004
sample1998	2004	2004	2002	2002
sample2267	2004	2004	2003	2003
sample2779	2004	2004	2002	2002
sample2517	2004	2004	2001	2001
sample1999	2004	2004	2004	2004
sample2268	2004	2004	2004	2004
sample2518	2004	2004	2004	2004
sample2780	2004	2004	2004	2004
sample2269	2004	2004	2004	2004
sample2000	2004	2004	2003	2003
sample2781	2004	2004	2003	2003
sample2519	2004	2004	2003	2003
sample2270	2004	2004	2003	2003
sample2001	2004	2004	2004	2004
sample2782	2004	2004	2003	2003
sample2520	2004	2004	2003	2003
sample2271	2004	2004	2003	2003
sample2783	2004	2004	2002	2002
sample2002	2004	2004	2004	2004
sample2521	2004	2004	2003	2003
sample2272	2004	2004	2004	2004
sample2784	2004	2004	2003	2003
sample2273	2004	2004	2003	2003
sample2522	2004	2004	2004	2004
sample2003	2004	2004	2004	2004
sample2785	2004	2004	2004	2004
sample2274	2004	2004	2004	2004
sample2523	2004	2004	2003	2003
sample2004	2004	2004	2002	2002
sample2786	2004	2004	2004	2004
sample2275	2004	2004	2004	2004
sample2524	2004	2004	2004	2004
sample2005	2004	2004	2002	2002
sample2787	2004	2004	2002	2002
sample2276	2004	2004	2002	2002
sample2525	2004	2004	2003	2003
sample2006	2004	2004	2002	2002
sample2788	2004	2004	2001	2001
sample2277	2004	2004	2002	2002
sample2526	2004	2004	2004	2004
sample2007	2004	2004	2001	2001
sample2789	2004	2004	2002	2002
sample2278	2004	2004	2001	2001
sample2527	2004	2004	2004	2004
sample2790	2004	2004	2004	2004
sample2008	2004	2004	2002	2002
sample2279	2004	2004	2003	2003
sample2528	2004	2004	2004	2004
sample2791	2004	2004	2003	2003
sample2009	2004	2004	1999	1999
sample2280	2004	2004	2003	2003
sample2529	2004	2004	2003	2003
sample2792	2004	2004	2003	2003
sample2010	2004	2004	2003	2003
sample2281	2004	2004	2002	2002
sample2530	2004	2004	2002	2002
sample2793	2004	2004	2002	2002
sample2011	2004	2004	2003	2003
sample2282	2004	2004	2002	2002
sample2794	2004	2004	2002	2002
sample2531	2004	2004	2003	2003
sample2012	2004	2004	2003	2003
sample2283	2004	2004	2004	2004
sample2795	2004	2004	2004	2004
sample2532	2004	2004	2004	2004
sample2013	2004	2004	2002	2002
sample2284	2004	2004	2004	2004
sample2796	2004	2004	2002	2002
sample2533	2004	2004	2002	2002
sample2285	2004	2004	2003	2003
sample2014	2004	2004	2003	2003
sample2797	2004	2004	2003	2003
sample2534	2004	2004	2002	2002
sample2286	2004	2004	2003	2003
sample2798	2004	2004	2003	2003
sample2015	2004	2004	2004	2004
sample2535	2004	2004	2003	2003
sample2287	2004	2004	2004	2004
sample2799	2004	2004	2004	2004
sample2016	2004	2004	2004	2004
sample2536	2004	2004	2003	2003
sample2288	2004	2004	2004	2004
sample2800	2004	2004	2004	2004
sample2017	2004	2004	2004	2004
sample2289	2004	2004	2004	2004
sample2537	2004	2004	2002	2002
sample2801	2004	2004	2004	2004
sample2290	2004	2004	2003	2003
sample2538	2004	2004	2003	2003
sample2802	2004	2004	2003	2003
sample2018	2004	2004	2004	2004
sample2803	2004	2004	2004	2004
sample2291	2004	2004	2003	2003
sample2019	2004	2004	2002	2002
sample2539	2004	2004	2003	2003
sample2804	2004	2004	2002	2002
sample2292	2004	2004	2001	2001
sample2020	2004	2004	2003	2003
sample2540	2004	2004	2004	2004
sample2805	2004	2004	2003	2003
sample2293	2004	2004	2003	2003
sample2021	2004	2004	2004	2004
sample2541	2004	2004	2002	2002
sample2806	2004	2004	2003	2003
sample2294	2004	2004	2004	2004
sample2022	2004	2004	2003	2003
sample2542	2004	2004	2003	2003
sample2807	2004	2004	2002	2002
sample2295	2004	2004	2003	2003
sample2023	2004	2004	2004	2004
sample2543	2004	2004	2003	2003
sample2808	2004	2004	2002	2002
sample2296	2004	2004	2003	2003
sample2544	2004	2004	2004	2004
sample2024	2004	2004	2003	2003
sample2297	2004	2004	2004	2004
sample2809	2004	2004	2002	2002
sample2810	2004	2004	2003	2003
sample2298	2004	2004	2004	2004
sample2299	2004	2004	2004	2004
sample2811	2004	2004	2004	2004
sample2025	2004	2004	2001	2001
sample2545	2004	2004	2004	2004
sample2300	2004	2004	2004	2004
sample2812	2004	2004	2004	2004
sample2026	2004	2004	2003	2003
sample2546	2004	2004	2003	2003
sample2301	2004	2004	2004	2004
sample2813	2004	2004	2004	2004
sample2547	2004	2004	2003	2003
sample2027	2004	2004	2002	2002
sample2302	2004	2004	2004	2004
sample2814	2004	2004	2004	2004
sample2028	2004	2004	2003	2003
sample2548	2004	2004	2003	2003
sample2815	2004	2004	2004	2004
sample2303	2004	2004	2004	2004
sample2029	2004	2004	2004	2004
sample2549	2004	2004	2002	2002
sample2816	2004	2004	2004	2004
sample2304	2004	2004	2003	2003
sample2030	2004	2004	2003	2003
sample2550	2004	2004	2002	2002
sample2817	2004	2004	2001	2001
sample2305	2004	2004	2003	2003
sample2031	2004	2004	2004	2004
sample2551	2004	2004	2003	2003
sample2818	2004	2004	2004	2004
sample2306	2004	2004	2002	2002
sample2032	2004	2004	2002	2002
sample2552	2004	2004	2002	2002
sample2307	2004	2004	2004	2004
sample2819	2004	2004	2001	2001
sample2033	2004	2004	2004	2004
sample2308	2004	2004	2002	2002
sample2553	2004	2004	2004	2004
sample2820	2004	2004	2002	2002
sample2309	2004	2004	2003	2003
sample2821	2004	2004	2003	2003
sample2034	2004	2004	2002	2002
sample2554	2004	2004	2004	2004
sample2310	2004	2004	2002	2002
sample2822	2004	2004	2004	2004
