sample	r1_raw	r2_raw	r1_trimmed_paired	r2_trimmed_paired
sample2366	2004	2004	2001	2001
sample3226	2004	2004	2004	2004
sample2878	2004	2004	2003	2003
sample2607	2004	2004	2004	2004
sample3739	2004	2004	2003	2003
sample2085	2004	2004	2003	2003
sample2971	2004	2004	2004	2004
sample2367	2004	2004	2003	2003
sample2879	2004	2004	2003	2003
sample2608	2004	2004	2003	2003
sample3227	2004	2004	2004	2004
sample3480	2004	2004	2002	2002
sample3740	2004	2004	2001	2001
sample2086	2004	2004	2003	2003
sample2368	2004	2004	2003	2003
sample2880	2004	2004	2003	2003
sample2609	2004	2004	2004	2004
sample2972	2004	2004	2002	2002
sample2881	2004	2004	2003	2003
sample2369	2004	2004	2003	2003
sample2087	2004	2004	2003	2003
sample3228	2004	2004	2003	2003
sample3741	2004	2004	2003	2003
sample3481	2004	2004	2003	2003
sample2610	2004	2004	2004	2004
sample2973	2004	2004	2003	2003
sample2882	2004	2004	2003	2003
sample2370	2004	2004	2003	2003
sample2088	2004	2004	2003	2003
sample3742	2004	2004	2004	2004
sample3229	2004	2004	2003	2003
sample2611	2004	2004	2001	2001
sample2883	2004	2004	2003	2003
sample3482	2004	2004	2004	2004
sample2089	2004	2004	2003	2003
sample2371	2004	2004	2003	2003
sample2974	2004	2004	2004	2004
sample2612	2004	2004	2003	2003
sample3743	2004	2004	2003	2003
sample3230	2004	2004	2004	2004
sample2884	2004	2004	2004	2004
sample2372	2004	2004	2004	2004
sample2090	2004	2004	2004	2004
sample2613	2004	2004	2003	2003
sample3483	2004	2004	2003	2003
sample2975	2004	2004	2003	2003
sample2885	2004	2004	2003	2003
sample2373	2004	2004	2004	2004
sample2091	2004	2004	2003	2003
sample3744	2004	2004	2004	2004
sample3231	2004	2004	2003	2003
sample2614	2004	2004	2004	2004
sample2374	2004	2004	2004	2004
sample2886	2004	2004	2003	2003
sample2976	2004	2004	2003	2003
sample2092	2004	2004	2002	2002
sample3484	2004	2004	2004	2004
sample2615	2004	2004	2004	2004
sample3745	2004	2004	2003	2003
sample3232	2004	2004	2004	2004
sample2375	2004	2004	2003	2003
sample2887	2004	2004	2003	2003
sample2093	2004	2004	2002	2002
sample2977	2004	2004	2003	2003
sample2616	2004	2004	2003	2003
sample2888	2004	2004	2004	2004
sample2376	2004	2004	2004	2004
sample3485	2004	2004	2004	2004
sample3746	2004	2004	2004	2004
sample3233	2004	2004	2002	2002
sample2094	2004	2004	2003	2003
sample2617	2004	2004	2002	2002
sample2377	2004	2004	2003	2003
sample2889	2004	2004	2001	2001
sample2978	2004	2004	2004	2004
sample3747	2004	2004	2004	2004
sample3234	2004	2004	2001	2001
sample2095	2004	2004	2002	2002
sample3486	2004	2004	2004	2004
sample2378	2004	2004	2004	2004
sample2618	2004	2004	2003	2003
sample2890	2004	2004	2004	2004
sample2979	2004	2004	2001	2001
sample2379	2004	2004	2003	2003
sample2096	2004	2004	2004	2004
sample2619	2004	2004	2000	2000
sample3748	2004	2004	2002	2002
sample2891	2004	2004	2004	2004
sample3235	2004	2004	2001	2001
sample3487	2004	2004	2003	2003
sample2380	2004	2004	2003	2003
sample2097	2004	2004	2003	2003
sample2980	2004	2004	2003	2003
sample2892	2004	2004	2004	2004
sample2620	2004	2004	2003	2003
sample3749	2004	2004	2003	2003
sample3236	2004	2004	2004	2004
sample2381	2004	2004	2003	2003
sample2098	2004	2004	2003	2003
sample2893	2004	2004	2004	2004
sample2621	2004	2004	2003	2003
sample3488	2004	2004	2004	2004
sample2981	2004	2004	2003	2003
sample3750	2004	2004	2003	2003
sample2382	2004	2004	2003	2003
sample2894	2004	2004	2003	2003
sample2099	2004	2004	2004	2004
sample3237	2004	2004	2003	2003
sample2622	2004	2004	2002	2002
sample2383	2004	2004	2002	2002
sample2895	2004	2004	2003	2003
sample2982	2004	2004	2003	2003
sample3489	2004	2004	2002	2002
sample3751	2004	2004	2002	2002
sample2100	2004	2004	2003	2003
sample2623	2004	2004	2003	2003
sample3238	2004	2004	2003	2003
sample2384	2004	2004	2001	2001
sample2896	2004	2004	2002	2002
sample2983	2004	2004	2004	2004
sample2624	2004	2004	2003	2003
sample2101	2004	2004	2004	2004
sample2385	2004	2004	2004	2004
sample3752	2004	2004	2000	2000
sample3490	2004	2004	2000	2000
sample2897	2004	2004	2003	2003
sample3239	2004	2004	2002	2002
sample2625	2004	2004	2003	2003
sample2386	2004	2004	2004	2004
sample2102	2004	2004	2003	2003
sample2984	2004	2004	2004	2004
sample2898	2004	2004	2002	2002
sample3753	2004	2004	2002	2002
sample2387	2004	2004	2001	2001
sample2626	2004	2004	2004	2004
sample3240	2004	2004	2002	2002
sample3491	2004	2004	2001	2001
sample2103	2004	2004	2002	2002
sample2899	2004	2004	2004	2004
sample2985	2004	2004	2003	2003
sample2388	2004	2004	2003	2003
sample2627	2004	2004	2003	2003
sample3754	2004	2004	2003	2003
sample2900	2004	2004	2003	2003
sample2104	2004	2004	2001	2001
sample3241	2004	2004	2002	2002
sample2389	2004	2004	2003	2003
sample3492	2004	2004	2003	2003
sample2986	2004	2004	2004	2004
sample2628	2004	2004	2002	2002
sample2901	2004	2004	2004	2004
sample2105	2004	2004	2004	2004
sample3755	2004	2004	2003	2003
sample2390	2004	2004	2004	2004
sample3242	2004	2004	2004	2004
sample2902	2004	2004	2004	2004
sample2629	2004	2004	2004	2004
sample2106	2004	2004	2003	2003
sample2987	2004	2004	2002	2002
sample3493	2004	2004	2004	2004
sample2391	2004	2004	2004	2004
sample3756	2004	2004	2004	2004
sample2903	2004	2004	2003	2003
sample2630	2004	2004	2002	2002
sample2107	2004	2004	2002	2002
sample3243	2004	2004	2004	2004
sample2392	2004	2004	2004	2004
sample2988	2004	2004	2002	2002
sample2904	2004	2004	2004	2004
sample2631	2004	2004	2002	2002
sample2108	2004	2004	2004	2004
sample3494	2004	2004	2001	2001
sample3757	2004	2004	2004	2004
sample2393	2004	2004	2004	2004
sample3244	2004	2004	2003	2003
sample2905	2004	2004	2003	2003
sample2632	2004	2004	2001	2001
sample2109	2004	2004	2002	2002
sample2989	2004	2004	2004	2004
sample2394	2004	2004	2004	2004
sample2906	2004	2004	2004	2004
sample3758	2004	2004	2003	2003
sample3495	2004	2004	2004	2004
sample2633	2004	2004	2003	2003
sample3245	2004	2004	2003	2003
sample2110	2004	2004	2004	2004
sample2395	2004	2004	2004	2004
sample2907	2004	2004	2003	2003
sample2990	2004	2004	2004	2004
sample2634	2004	2004	2001	2001
sample3759	2004	2004	2004	2004
sample2111	2004	2004	2003	2003
sample2396	2004	2004	2002	2002
sample3496	2004	2004	2004	2004
sample2908	2004	2004	2002	2002
sample3246	2004	2004	2003	2003
sample2991	2004	2004	2003	2003
sample2635	2004	2004	2002	2002
sample2397	2004	2004	2002	2002
sample2112	2004	2004	2004	2004
sample2909	2004	2004	2002	2002
sample3760	2004	2004	2003	2003
sample2636	2004	2004	2004	2004
sample3247	2004	2004	2003	2003
sample2398	2004	2004	2003	2003
sample3497	2004	2004	2003	2003
sample2992	2004	2004	2002	2002
sample2113	2004	2004	2004	2004
sample2910	2004	2004	2004	2004
sample3761	2004	2004	2004	2004
sample2637	2004	2004	2003	2003
sample2399	2004	2004	2003	2003
sample3248	2004	2004	2003	2003
sample2911	2004	2004	2004	2004
sample2114	2004	2004	2004	2004
sample2993	2004	2004	2003	2003
sample3498	2004	2004	2002	2002
sample2638	2004	2004	2004	2004
sample3762	2004	2004	2003	2003
sample2400	2004	2004	2001	2001
sample2912	2004	2004	2004	2004
sample2115	2004	2004	2004	2004
sample3249	2004	2004	2003	2003
sample2994	2004	2004	2004	2004
sample2639	2004	2004	2004	2004
sample2401	2004	2004	2003	2003
sample2913	2004	2004	2004	2004
sample3763	2004	2004	2003	2003
sample2116	2004	2004	2002	2002
sample3499	2004	2004	2002	2002
sample2640	2004	2004	2003	2003
sample2402	2004	2004	2003	2003
sample2914	2004	2004	2004	2004
sample3250	2004	2004	2003	2003
sample2995	2004	2004	2002	2002
sample2117	2004	2004	2001	2001
sample3764	2004	2004	2004	2004
sample2403	2004	2004	2002	2002
sample2641	2004	2004	2004	2004
sample2915	2004	2004	2003	2003
sample3500	2004	2004	2004	2004
sample3251	2004	2004	2004	2004
sample2996	2004	2004	2003	2003
sample2642	2004	2004	2001	2001
sample2118	2004	2004	2002	2002
sample2404	2004	2004	2001	2001
sample2916	2004	2004	2004	2004
sample3765	2004	2004	2002	2002
sample3252	2004	2004	2004	2004
sample2997	2004	2004	2004	2004
sample2643	2004	2004	2002	2002
sample2405	2004	2004	2002	2002
sample3501	2004	2004	2003	2003
sample2917	2004	2004	2003	2003
sample2119	2004	2004	2003	2003
sample3766	2004	2004	2004	2004
sample2406	2004	2004	2003	2003
sample2918	2004	2004	2004	2004
sample2644	2004	2004	2004	2004
sample2120	2004	2004	2002	2002
sample3253	2004	2004	2003	2003
sample2998	2004	2004	2004	2004
sample3502	2004	2004	2002	2002
sample2407	2004	2004	2003	2003
sample2919	2004	2004	2002	2002
sample2121	2004	2004	2003	2003
sample3767	2004	2004	2002	2002
sample2645	2004	2004	2001	2001
sample3254	2004	2004	2004	2004
sample2999	2004	2004	2004	2004
sample2408	2004	2004	2003	2003
sample2920	2004	2004	2000	2000
sample2646	2004	2004	2003	2003
sample3503	2004	2004	2003	2003
sample2122	2004	2004	2003	2003
sample3768	2004	2004	2003	2003
sample2409	2004	2004	2004	2004
sample2921	2004	2004	2003	2003
sample3255	2004	2004	2003	2003
sample3000	2004	2004	2003	2003
sample2647	2004	2004	2004	2004
sample2123	2004	2004	2003	2003
sample2410	2004	2004	2002	2002
sample3769	2004	2004	2004	2004
sample3504	2004	2004	2004	2004
sample2922	2004	2004	2004	2004
sample2648	2004	2004	2003	2003
sample3001	2004	2004	2003	2003
sample3256	2004	2004	2004	2004
sample2411	2004	2004	2002	2002
sample2124	2004	2004	2003	2003
sample2923	2004	2004	2004	2004
sample3770	2004	2004	2004	2004
sample2649	2004	2004	2001	2001
sample3505	2004	2004	2003	2003
sample2412	2004	2004	2004	2004
sample2924	2004	2004	2004	2004
sample2125	2004	2004	2003	2003
sample3002	2004	2004	2002	2002
sample3257	2004	2004	2003	2003
sample2650	2004	2004	2003	2003
sample2413	2004	2004	2002	2002
sample3771	2004	2004	2004	2004
sample2925	2004	2004	2002	2002
sample2126	2004	2004	2001	2001
sample2651	2004	2004	2004	2004
sample3003	2004	2004	2004	2004
sample3506	2004	2004	2004	2004
sample3258	2004	2004	2004	2004
sample2414	2004	2004	2002	2002
sample2926	2004	2004	2000	2000
sample3772	2004	2004	2003	2003
sample2127	2004	2004	2002	2002
sample2652	2004	2004	2003	2003
sample2415	2004	2004	2003	2003
sample2927	2004	2004	2003	2003
sample3507	2004	2004	2004	2004
sample3004	2004	2004	2003	2003
sample3259	2004	2004	2001	2001
sample2128	2004	2004	2003	2003
sample3773	2004	2004	2004	2004
sample2416	2004	2004	2003	2003
sample2653	2004	2004	2004	2004
sample2928	2004	2004	2004	2004
sample2129	2004	2004	2003	2003
sample3005	2004	2004	2004	2004
sample2417	2004	2004	2003	2003
sample2654	2004	2004	2002	2002
sample3508	2004	2004	2004	2004
sample3260	2004	2004	2003	2003
sample2929	2004	2004	2004	2004
sample3774	2004	2004	2003	2003
sample2130	2004	2004	2002	2002
sample2418	2004	2004	2004	2004
sample2655	2004	2004	2003	2003
sample2930	2004	2004	2003	2003
sample3006	2004	2004	2002	2002
sample3261	2004	2004	2003	2003
sample3509	2004	2004	2004	2004
sample3775	2004	2004	2003	2003
sample2419	2004	2004	2002	2002
sample2131	2004	2004	2003	2003
sample2931	2004	2004	2004	2004
sample2656	2004	2004	2002	2002
sample3007	2004	2004	2003	2003
sample2420	2004	2004	2004	2004
sample2132	2004	2004	2003	2003
sample3776	2004	2004	2004	2004
sample2932	2004	2004	2002	2002
sample3262	2004	2004	2002	2002
sample3510	2004	2004	2004	2004
sample2657	2004	2004	2004	2004
sample2421	2004	2004	2003	2003
sample3008	2004	2004	2004	2004
sample2133	2004	2004	2004	2004
sample2933	2004	2004	2004	2004
sample2658	2004	2004	2004	2004
sample3777	2004	2004	2004	2004
sample3263	2004	2004	2004	2004
sample3511	2004	2004	2002	2002
sample2422	2004	2004	2003	2003
sample2934	2004	2004	2003	2003
sample2134	2004	2004	2004	2004
sample2659	2004	2004	2004	2004
sample3009	2004	2004	2003	2003
sample2423	2004	2004	2003	2003
sample3778	2004	2004	2004	2004
sample2935	2004	2004	2004	2004
sample3264	2004	2004	2003	2003
sample2135	2004	2004	2004	2004
sample3512	2004	2004	2002	2002
sample2660	2004	2004	2003	2003
sample3010	2004	2004	2002	2002
sample2424	2004	2004	2002	2002
sample2936	2004	2004	2004	2004
sample3779	2004	2004	2004	2004
sample2136	2004	2004	2004	2004
sample2661	2004	2004	2004	2004
sample3265	2004	2004	2004	2004
sample2937	2004	2004	2003	2003
sample3513	2004	2004	2002	2002
sample2425	2004	2004	2002	2002
sample2662	2004	2004	2001	2001
sample3011	2004	2004	2002	2002
sample3780	2004	2004	2004	2004
sample2137	2004	2004	2003	2003
sample3266	2004	2004	2003	2003
sample2938	2004	2004	2004	2004
sample2426	2004	2004	2003	2003
sample2663	2004	2004	2003	2003
sample3514	2004	2004	2004	2004
sample3012	2004	2004	2003	2003
sample2939	2004	2004	2004	2004
sample2138	2004	2004	2004	2004
sample2427	2004	2004	2001	2001
sample3781	2004	2004	2003	2003
sample2664	2004	2004	2004	2004
sample3267	2004	2004	2003	2003
sample2940	2004	2004	2004	2004
sample2428	2004	2004	2002	2002
sample3013	2004	2004	2004	2004
sample2139	2004	2004	2003	2003
sample3515	2004	2004	2002	2002
sample2665	2004	2004	2003	2003
sample3782	2004	2004	2004	2004
sample2941	2004	2004	2004	2004
sample3268	2004	2004	2004	2004
sample2429	2004	2004	2003	2003
sample3014	2004	2004	2004	2004
sample2666	2004	2004	2001	2001
sample2140	2004	2004	2004	2004
sample2942	2004	2004	2004	2004
sample3783	2004	2004	2004	2004
sample3516	2004	2004	2004	2004
sample2430	2004	2004	2003	2003
sample3269	2004	2004	2003	2003
sample2667	2004	2004	2004	2004
sample2141	2004	2004	2004	2004
sample2943	2004	2004	2002	2002
sample3015	2004	2004	2003	2003
sample2431	2004	2004	2004	2004
sample3784	2004	2004	2002	2002
sample3517	2004	2004	2000	2000
sample2668	2004	2004	2003	2003
sample2142	2004	2004	2002	2002
sample2944	2004	2004	2002	2002
sample3270	2004	2004	2004	2004
sample2432	2004	2004	2002	2002
sample3016	2004	2004	2004	2004
sample2669	2004	2004	2003	2003
sample2143	2004	2004	2004	2004
sample3785	2004	2004	2004	2004
sample3518	2004	2004	2002	2002
sample3271	2004	2004	2003	2003
sample2670	2004	2004	2004	2004
sample3017	2004	2004	2002	2002
sample2144	2004	2004	2003	2003
sample3786	2004	2004	2003	2003
sample2671	2004	2004	2002	2002
sample2145	2004	2004	2004	2004
sample3272	2004	2004	2002	2002
sample3519	2004	2004	2003	2003
sample3018	2004	2004	2003	2003
sample3787	2004	2004	2002	2002
sample2672	2004	2004	2001	2001
sample2146	2004	2004	2004	2004
sample3273	2004	2004	2004	2004
sample3019	2004	2004	2004	2004
sample3520	2004	2004	2002	2002
sample2673	2004	2004	2001	2001
sample3788	2004	2004	2004	2004
sample2147	2004	2004	2004	2004
sample2674	2004	2004	2003	2003
sample3274	2004	2004	2003	2003
sample3020	2004	2004	2004	2004
sample3789	2004	2004	2004	2004
sample2148	2004	2004	2003	2003
sample3521	2004	2004	2004	2004
sample2675	2004	2004	2004	2004
sample2149	2004	2004	2004	2004
sample3275	2004	2004	2003	2003
sample3021	2004	2004	2003	2003
sample3790	2004	2004	2004	2004
sample2676	2004	2004	2004	2004
sample3522	2004	2004	2003	2003
sample2150	2004	2004	2003	2003
sample3276	2004	2004	2004	2004
sample3022	2004	2004	2003	2003
sample2677	2004	2004	2003	2003
sample3791	2004	2004	2004	2004
sample2151	2004	2004	2003	2003
sample3523	2004	2004	2004	2004
sample2678	2004	2004	2003	2003
sample3023	2004	2004	2003	2003
sample3277	2004	2004	2004	2004
sample3792	2004	2004	2002	2002
sample2152	2004	2004	2004	2004
sample2679	2004	2004	2003	2003
sample3524	2004	2004	2003	2003
sample3024	2004	2004	2003	2003
sample3278	2004	2004	2003	2003
sample2680	2004	2004	2004	2004
sample3793	2004	2004	2004	2004
sample2153	2004	2004	2004	2004
sample2154	2004	2004	2003	2003
sample2681	2004	2004	2004	2004
sample3025	2004	2004	2004	2004
sample3794	2004	2004	2003	2003
sample3279	2004	2004	2004	2004
sample3525	2004	2004	2003	2003
sample2155	2004	2004	2003	2003
sample2682	2004	2004	2004	2004
sample3026	2004	2004	2003	2003
sample3795	2004	2004	2004	2004
sample3280	2004	2004	2003	2003
sample2156	2004	2004	2003	2003
sample2683	2004	2004	2004	2004
sample3526	2004	2004	2004	2004
sample3027	2004	2004	2002	2002
sample3796	2004	2004	2003	2003
sample3281	2004	2004	2004	2004
sample2684	2004	2004	2004	2004
sample2157	2004	2004	2003	2003
sample3797	2004	2004	2003	2003
sample3028	2004	2004	2004	2004
sample3527	2004	2004	2003	2003
sample3282	2004	2004	2004	2004
sample2685	2004	2004	2003	2003
sample2158	2004	2004	2004	2004
sample3798	2004	2004	2003	2003
sample3029	2004	2004	2004	2004
sample2686	2004	2004	2004	2004
sample2159	2004	2004	2003	2003
sample3528	2004	2004	2003	2003
sample3283	2004	2004	2004	2004
sample2687	2004	2004	2004	2004
sample3799	2004	2004	2004	2004
sample2160	2004	2004	2003	2003
sample3030	2004	2004	2001	2001
sample3284	2004	2004	2004	2004
sample2688	2004	2004	2003	2003
sample3529	2004	2004	1999	1999
sample2161	2004	2004	2001	2001
sample3800	2004	2004	2003	2003
sample3031	2004	2004	1999	1999
sample2162	2004	2004	2003	2003
sample3285	2004	2004	2002	2002
sample3530	2004	2004	2004	2004
sample3801	2004	2004	2004	2004
sample3032	2004	2004	2004	2004
sample2163	2004	2004	2004	2004
sample3286	2004	2004	2004	2004
sample3802	2004	2004	2003	2003
sample3033	2004	2004	2003	2003
sample3531	2004	2004	2003	2003
sample2164	2004	2004	2003	2003
sample2165	2004	2004	2000	2000
sample3803	2004	2004	2003	2003
sample3034	2004	2004	2004	2004
sample3287	2004	2004	2004	2004
sample3532	2004	2004	2003	2003
sample2166	2004	2004	2003	2003
sample3804	2004	2004	2004	2004
sample3035	2004	2004	2004	2004
sample3288	2004	2004	2004	2004
sample3533	2004	2004	2004	2004
sample2167	2004	2004	2003	2003
sample3805	2004	2004	2004	2004
sample3036	2004	2004	2001	2001
sample3289	2004	2004	2002	2002
sample2168	2004	2004	2002	2002
sample3534	2004	2004	2003	2003
sample3806	2004	2004	2002	2002
sample3290	2004	2004	2001	2001
sample3037	2004	2004	2003	2003
sample2169	2004	2004	2003	2003
sample3807	2004	2004	2004	2004
sample3535	2004	2004	2004	2004
sample3291	2004	2004	2004	2004
sample3038	2004	2004	2003	2003
sample2170	2004	2004	2002	2002
sample3808	2004	2004	2004	2004
sample2171	2004	2004	2003	2003
sample3536	2004	2004	2002	2002
sample3292	2004	2004	2004	2004
sample3039	2004	2004	2003	2003
sample2172	2004	2004	2003	2003
sample3809	2004	2004	2004	2004
sample3293	2004	2004	2003	2003
sample3040	2004	2004	2002	2002
sample3537	2004	2004	2002	2002
sample2173	2004	2004	2004	2004
sample3810	2004	2004	2004	2004
sample3294	2004	2004	2003	2003
sample3041	2004	2004	2003	2003
sample2174	2004	2004	2003	2003
sample3538	2004	2004	2003	2003
sample3811	2004	2004	2004	2004
sample2175	2004	2004	2003	2003
sample3295	2004	2004	2003	2003
sample3042	2004	2004	2001	2001
sample3539	2004	2004	2003	2003
sample3812	2004	2004	2003	2003
sample2176	2004	2004	2003	2003
sample3296	2004	2004	2003	2003
sample3043	2004	2004	2003	2003
sample3540	2004	2004	2000	2000
sample3813	2004	2004	2003	2003
sample3297	2004	2004	2004	2004
sample3044	2004	2004	2003	2003
sample3814	2004	2004	2003	2003
sample3541	2004	2004	2000	2000
sample3298	2004	2004	2004	2004
sample3045	2004	2004	2002	2002
sample3815	2004	2004	2003	2003
sample3299	2004	2004	2003	2003
sample3542	2004	2004	2003	2003
sample3046	2004	2004	2002	2002
sample3816	2004	2004	2004	2004
sample3300	2004	2004	2003	2003
sample3047	2004	2004	2002	2002
sample3543	2004	2004	2001	2001
sample3817	2004	2004	2002	2002
sample3301	2004	2004	2004	2004
sample3048	2004	2004	2003	2003
sample3818	2004	2004	2003	2003
sample3544	2004	2004	2003	2003
sample3302	2004	2004	2002	2002
sample3049	2004	2004	2004	2004
sample3819	2004	2004	2002	2002
sample3545	2004	2004	2003	2003
sample3303	2004	2004	2004	2004
sample3050	2004	2004	2004	2004
sample3820	2004	2004	2004	2004
sample3304	2004	2004	2004	2004
sample3546	2004	2004	2003	2003
sample3051	2004	2004	2002	2002
sample3821	2004	2004	2004	2004
sample3305	2004	2004	2004	2004
sample3052	2004	2004	2004	2004
sample3547	2004	2004	2004	2004
sample3822	2004	2004	2004	2004
sample3306	2004	2004	2004	2004
sample3053	2004	2004	2004	2004
sample3823	2004	2004	2004	2004
sample3548	2004	2004	2004	2004
sample3307	2004	2004	2004	2004
sample3054	2004	2004	2004	2004
sample3824	2004	2004	2003	2003
sample3549	2004	2004	2003	2003
sample3308	2004	2004	2004	2004
sample3055	2004	2004	2002	2002
sample3825	2004	2004	2003	2003
sample3550	2004	2004	2004	2004
sample3309	2004	2004	2003	2003
sample3056	2004	2004	2004	2004
sample3826	2004	2004	2004	2004
sample3551	2004	2004	2001	2001
sample3310	2004	2004	2004	2004
sample3827	2004	2004	2003	2003
sample3057	2004	2004	2004	2004
sample3552	2004	2004	2003	2003
sample3311	2004	2004	2003	2003
sample3828	2004	2004	2004	2004
sample3058	2004	2004	2004	2004
sample3312	2004	2004	2004	2004
sample3553	2004	2004	2004	2004
sample3829	2004	2004	2003	2003
sample3059	2004	2004	2004	2004
sample3313	2004	2004	2002	2002
sample3830	2004	2004	2003	2003
sample3060	2004	2004	2004	2004
sample3554	2004	2004	2003	2003
sample3314	2004	2004	2004	2004
sample3831	2004	2004	2003	2003
sample3061	2004	2004	2004	2004
sample3555	2004	2004	2001	2001
sample3832	2004	2004	2002	2002
sample3315	2004	2004	2003	2003
sample3062	2004	2004	2001	2001
sample3556	2004	2004	2002	2002
sample3063	2004	2004	2002	2002
sample3833	2004	2004	2003	2003
sample3316	2004	2004	2004	2004
sample3557	2004	2004	2002	2002
sample3834	2004	2004	2004	2004
sample3064	2004	2004	2003	2003
sample3317	2004	2004	2003	2003
sample3558	2004	2004	2004	2004
sample3065	2004	2004	2003	2003
sample3835	2004	2004	2003	2003
sample3318	2004	2004	2001	2001
sample3066	2004	2004	2003	2003
sample3559	2004	2004	2004	2004
sample3836	2004	2004	2003	2003
sample3319	2004	2004	2004	2004
sample3067	2004	2004	2003	2003
sample3560	2004	2004	1998	1998
sample3837	2004	2004	2003	2003
sample3320	2004	2004	2003	2003
sample3068	2004	2004	2003	2003
sample3838	2004	2004	2002	2002
sample3321	2004	2004	2002	2002
sample3561	2004	2004	2003	2003
sample3069	2004	2004	2003	2003
sample3839	2004	2004	2001	2001
sample3322	2004	2004	2004	2004
sample3562	2004	2004	2002	2002
sample3070	2004	2004	2003	2003
sample3840	2004	2004	2003	2003
sample3323	2004	2004	2004	2004
sample3563	2004	2004	2003	2003
sample3071	2004	2004	2003	2003
sample3324	2004	2004	2002	2002
sample3564	2004	2004	2002	2002
sample3072	2004	2004	2003	2003
sample3325	2004	2004	2004	2004
sample3565	2004	2004	2002	2002
sample3073	2004	2004	2003	2003
sample3326	2004	2004	2003	2003
sample3566	2004	2004	2003	2003
sample3074	2004	2004	2001	2001
sample3327	2004	2004	2003	2003
sample3567	2004	2004	2002	2002
sample3075	2004	2004	2004	2004
sample3328	2004	2004	2003	2003
sample3076	2004	2004	2003	2003
sample3568	2004	2004	2002	2002
sample3329	2004	2004	2002	2002
sample3077	2004	2004	2000	2000
sample3569	2004	2004	2004	2004
sample3330	2004	2004	2003	2003
sample3078	2004	2004	2004	2004
sample3570	2004	2004	2002	2002
sample3331	2004	2004	2003	2003
sample3079	2004	2004	2003	2003
sample3571	2004	2004	2003	2003
sample3332	2004	2004	2003	2003
sample3080	2004	2004	2002	2002
sample3333	2004	2004	2001	2001
sample3572	2004	2004	2004	2004
sample3081	2004	2004	2003	2003
sample3334	2004	2004	2003	2003
sample3573	2004	2004	2001	2001
sample3082	2004	2004	2003	2003
sample3335	2004	2004	2004	2004
sample3574	2004	2004	2002	2002
sample3083	2004	2004	2004	2004
sample3336	2004	2004	2002	2002
sample3575	2004	2004	2003	2003
sample3084	2004	2004	2004	2004
sample3337	2004	2004	2002	2002
sample3085	2004	2004	2003	2003
sample3576	2004	2004	2003	2003
sample3338	2004	2004	2003	2003
sample3086	2004	2004	2004	2004
sample3577	2004	2004	2004	2004
sample3339	2004	2004	2004	2004
sample3087	2004	2004	2003	2003
sample3578	2004	2004	2002	2002
sample3340	2004	2004	2004	2004
sample3088	2004	2004	2004	2004
sample3089	2004	2004	2004	2004
sample3579	2004	2004	2003	2003
sample3341	2004	2004	2003	2003
sample3090	2004	2004	2004	2004
sample3580	2004	2004	2003	2003
sample3342	2004	2004	2002	2002
sample3091	2004	2004	2004	2004
sample3581	2004	2004	2001	2001
sample3343	2004	2004	2001	2001
sample3092	2004	2004	2002	2002
sample3582	2004	2004	2004	2004
sample3344	2004	2004	2004	2004
sample3093	2004	2004	2003	2003
sample3583	2004	2004	2003	2003
sample3094	2004	2004	2002	2002
sample3345	2004	2004	2004	2004
sample3584	2004	2004	2003	2003
sample3095	2004	2004	2004	2004
sample3346	2004	2004	2004	2004
sample3585	2004	2004	2004	2004
sample3096	2004	2004	2004	2004
sample3347	2004	2004	2003	2003
sample3097	2004	2004	2001	2001
sample3348	2004	2004	2004	2004
sample3586	2004	2004	2004	2004
sample3098	2004	2004	2004	2004
sample3349	2004	2004	2003	2003
sample3587	2004	2004	2004	2004
sample3099	2004	2004	2003	2003
sample3350	2004	2004	2004	2004
sample3588	2004	2004	2004	2004
sample3100	2004	2004	2003	2003
sample3351	2004	2004	2004	2004
sample3589	2004	2004	2003	2003
sample3101	2004	2004	2004	2004
sample3352	2004	2004	2003	2003
sample3590	2004	2004	2002	2002
sample3102	2004	2004	2004	2004
sample3353	2004	2004	2003	2003
sample3103	2004	2004	2003	2003
sample3591	2004	2004	2004	2004
sample3354	2004	2004	2003	2003
sample3104	2004	2004	2003	2003
sample3592	2004	2004	2004	2004
sample3355	2004	2004	2003	2003
sample3105	2004	2004	2003	2003
sample3593	2004	2004	2004	2004
sample3356	2004	2004	2004	2004
sample3106	2004	2004	2004	2004
sample3594	2004	2004	2003	2003
sample3357	2004	2004	2003	2003
sample3107	2004	2004	2002	2002
sample3595	2004	2004	2004	2004
sample3358	2004	2004	2002	2002
sample3108	2004	2004	2003	2003
sample3596	2004	2004	2003	2003
sample3359	2004	2004	2003	2003
sample3109	2004	2004	2003	2003
sample3360	2004	2004	2003	2003
sample3597	2004	2004	2004	2004
sample3110	2004	2004	2002	2002
sample3361	2004	2004	2003	2003
sample3598	2004	2004	2003	2003
sample3111	2004	2004	2003	2003
sample3362	2004	2004	2004	2004
sample3599	2004	2004	2000	2000
sample3112	2004	2004	2003	2003
sample3363	2004	2004	2004	2004
sample3600	2004	2004	2004	2004
sample3113	2004	2004	2003	2003
sample3364	2004	2004	2004	2004
sample3601	2004	2004	2003	2003
sample3114	2004	2004	2002	2002
sample3365	2004	2004	2004	2004
sample3115	2004	2004	2004	2004
sample3602	2004	2004	2002	2002
sample3366	2004	2004	2001	2001
sample3116	2004	2004	2003	2003
sample3603	2004	2004	2002	2002
