sample	total_reads	mapped_percent	paired_in_sequencing	properly_paired_percent
sample2989	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample3752	4000	4000 + 0 mapped (100.00% : N/A)	4000	4000 + 0 properly paired (100.00% : N/A)
sample1962	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample2217	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample2731	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2469	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample3500	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample3239	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2990	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample1963	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample3753	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2218	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample2732	4002	4002 + 0 mapped (100.00% : N/A)	4002	4002 + 0 properly paired (100.00% : N/A)
sample2470	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample3501	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample3240	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2991	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample1964	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample3754	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample2219	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2733	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample3502	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2992	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2471	4002	4002 + 0 mapped (100.00% : N/A)	4002	4002 + 0 properly paired (100.00% : N/A)
sample3241	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample1965	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample3755	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample2220	4004	4004 + 0 mapped (100.00% : N/A)	4004	4004 + 0 properly paired (100.00% : N/A)
sample2734	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample2993	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample3503	4006	4006 + 0 mapped (100.00% : N/A)	4006	4006 + 0 properly paired (100.00% : N/A)
sample2472	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample3242	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
sample1966	4008	4008 + 0 mapped (100.00% : N/A)	4008	4008 + 0 properly paired (100.00% : N/A)
